"entity","dateOfBirth","nationality","almaMater","awards","workPlaces"
"Harold Marshall (acoustician)","['1931-09-15']","['Auckland']","['University of Auckland', 'University of Southampton']","['Rayleigh Medal', 'Wallace Clement Sabine Medal']","['University of Auckland']"
"Ziauddin Ahmad","['1878-02-13']","['Aligarh']","['Al-Azhar University', 'Allahabad University', 'Calcutta University', 'Cambridge University', 'Muhammadan Anglo-Oriental College', 'Patna University', 'Royal Astronomical Society', 'University of Bologna', 'University of Göttingen']","['Companion of the Order of the Indian Empire', 'Gold Medal']","['Aligarh Muslim University', 'London Mathematical Society', 'Muhammadan Anglo-Oriental College', 'Royal Astronomical Society', 'Trinity College, Cambridge', 'University of Bologna', 'University of Paris']"
"Heinz König","['1927-12-25']","['Baden-Württemberg']","['University of Mainz', 'University of Münster']","['Econometric Society', 'Honorary doctorate', 'Order of Merit of the Federal Republic of Germany', 'University of Mannheim']","['Harvard University', 'Stanford University', 'University of Mannheim']"
"Izaak Kolthoff","['1894-02-11']","['Minnesota']","['University of Utrecht']","['National Academy of Sciences', 'Order of Orange-Nassau', 'Willard Gibbs Award']","['University of Minnesota', 'University of Utrecht']"
"Murray Batchelor","['1961-8-27']","['Australia']","['Australian National University', 'University of New South Wales']","['Australian Mathematical Society Medal', 'Pawsey Medal']","['Australian National University', 'Chongqing University']"
"Leon M. Lederman","['1922-07-15']","['United States']","['City College of New York', 'Columbia University']","['National Medal of Science', 'Nobel Prize in Physics', 'Vannevar Bush Award', 'William Procter Prize for Scientific Achievement', 'Wolf Prize in Physics']","['Columbia University', 'Fermi National Accelerator Laboratory', 'Illinois Institute of Technology']"
"Peter Balazs (mathematician)","['1970-12-11']","['Austria']","['Universität Wien']","['Start-Preis']","['Acoustics Research Institute', 'CNRS', 'Université catholique de Louvain']"
"Lorenz Studer","['1966-03-05']","['United States']","['University of Bern', 'University of Fribourg']","['MSKCC', 'MacArthur Fellowship']","['Memorial Sloan Kettering Cancer Center', 'Weill Cornell Medical College']"
"Basil Briggs","['1940-9-13']","['Australia']","['University of Cambridge']","['Harrie Massey Medal and Prize']","['Cavendish Laboratory', 'University of Adelaide']"
"M. M. S. Ahuja","['1929-1-1']","['New Delhi']","['Madras Medical College']","['B. C. Roy Award', 'Padma Shri']","['All India Institute of Medical Sciences']"
"Sheldon Weinbaum","['1937-07-26']","['United States']","['Harvard University', 'Rensselaer Polytechnic Institute']","['American Academy of Arts and Sciences', 'Guggenheim Fellowship', 'National Academy of Engineering', 'National Academy of Science']","['The City College of New York']"
"Jerome Bruner","['1915-10-01']","['New York City']","['Duke University', 'Harvard University']","['Balzan Prize']","['Harvard University', 'New York University', 'University of Oxford']"
"Earl Babbie","['1938-01-08']","['United States']","['Harvard College', 'University of California, Berkeley']","['California State University', 'Distinguished Visiting Professor', 'Lester F. Ward', 'Professor Emeritus']","['Chapman University', 'University of Hawaii']"
"Udai Bhan Tewari","['1944-06-18']","['Kanpur']","['Lucknow University', 'University of California, Berkeley']","['Shanti Swaroop Bhatnagar Award']","['IITK']"
"Henk Wesseling","['1937-08-06']","['Leiden']","['Leiden University']","['Order of the House of Orange']","['Leiden University', 'Netherlands Institute for Advanced Study']"
"Allen Shenstone","['1893-07-27']","['New Jersey']","['Princeton University', 'University of Cambridge']","['Military Cross']","['Princeton University', 'University of Toronto']"
"Philip Maini","['1959-10-16']","['United Kingdom']","['University of Oxford']","['Fellow of the Royal Society', 'Naylor Prize and Lectureship']","['University of Oxford', 'University of Utah']"
"Mark Walport","['1953-01-25']","['United Kingdom']","['University of Cambridge']","['Academy of Medical Sciences, United Kingdom', 'Fellow of the Royal Society', 'Knight Bachelor']","['Government of the United Kingdom', 'Guy's Hospital', 'Hammersmith Hospital', 'Imperial College School of Medicine', 'Royal Brompton Hospital', 'University of Cambridge', 'Wellcome Trust']"
"Richard D. Braatz","['1966-07-18']","['Arlington, Massachusetts']","['Caltech']","['Antonio Ruberti', 'Donald P. Eckman Award', 'Hertz Foundation']","['Massachusetts Institute of Technology']"
"Carlos Bertulani","['1955-11-25']","['United States']","['University of Bonn']","['American Physical Society', 'CNPq', 'Deutscher Akademischer Austauschdienst', 'Guggenheim Fellow']","['Brookhaven National Laboratory', 'Federal University of Rio de Janeiro', 'Michigan State University', 'Oak Ridge National Laboratory', 'Texas A&M University-Commerce', 'University of Arizona']"
"Ruben Safrastyan","['1955-10-05']","['Armenia']","['Yerevan State University']","['Khorenatsi medal']","['Armenian National Academy of Sciences', 'Yerevan State University']"
"Licia Verde","['1971-10-0']","['Spain']","['University of Padua']","['Gruber Prize in Cosmology', 'ISI highly cited researcher']","['Catalan Institution for Research and Advanced Studies', 'Princeton University', 'Radcliffe Institute for Advanced Study', 'University of Edinburgh', 'University of Oslo', 'University of Pennsylvania']"
"Wil Roebroeks","['1955-1-1']","['Netherlands']","['Leiden University', 'Radboud University Nijmegen']","['Spinozapremie']","['Leiden University']"
"Charles Phelps Smyth","['1895-02-10']","['Princeton, New Jersey']","['Harvard University', 'Princeton University']","['Medal of Freedom']","['Princeton University']"
"Peter M. Neumann","['1940-12-28']","['Oxford']","['The Queen's College, Oxford']","['Senior Whitehead Prize']","['University of Oxford']"
"George Chaldakov","['1940-02-23']","['Bulgaria']","['Doctor of Philosophy', 'Medical University of Varna']","['Iuliu Hațieganu University of Medicine and Pharmacy']","['Medical University of Varna']"
"Paul Dirac","['1902-08-08']","['United Kingdom']","['St John's College, Cambridge', 'University of Bristol']","['Copley Medal', 'Fellow of the Royal Society', 'Max Planck Medal', 'Nobel Prize in Physics', 'Royal Medal']","['Florida State University', 'University of Cambridge', 'University of Miami']"
"Sow-Hsin Chen","['1935-1-1']","['United States']","['McMaster University', 'National Taiwan University', 'National Tsing Hua University', 'University of Michigan']","['Massachusetts Institute of Technology', 'National Tsing Hua University']","['Atomic Energy Research Establishment', 'Harvard University', 'Massachusetts Institute of Technology', 'University of Waterloo']"
"Hyeon Taeghwan","['1964-12-9']","['Seoul']","['Seoul National University', 'University of Illinois at Urbana-Champaign']","['Ho-am Prize in Engineering']","['Northwestern University', 'Seoul National University']"
"Sanjeev Arora","['1968-1-1']","['United States']","['Massachusetts Institute of Technology', 'UC Berkeley']","['Fulkerson Prize', 'Gödel Prize']","['Princeton University']"
"Harry Edwards (sociologist)","['1942-11-22']","['Fremont, California']","['Cornell University', 'Fresno City College', 'San Jose State University']","['Woodrow Wilson Fellowship']","['University of California, Berkeley']"
"Govindarajan Padmanaban","['1938-03-20']","['India']","['Bengaluru', 'Indian Agricultural Research Institute', 'Indian Institute of Science', 'Presidency College, Chennai']","['Padma Bhushan', 'Padma Shri', 'Shanti Swarup Bhatnagar Prize']","['Indian Institute of Science', 'St Mary's Hospital Medical School', 'University of Chicago']"
"M. Qasim Jan","['1944-01-10']","['Hayatabad']","['University of London', 'University of Oregon', 'University of Peshawar']","['Hilal-i-Imtiaz', 'Sitara-i-Imtiaz', 'Tamgha-i-Imtiaz']","['Higher Education Commission', 'King's College, London', 'National Centre of Excellence in Geology', 'University of Leicester', 'University of Oklahoma', 'University of Oregon', 'University of Peshawar']"
"John M. Ball","['1948-05-19']","['Oxford']","['University of Cambridge', 'University of Sussex']","['Junior Whitehead Prize', 'Sir Edmund Whittaker Memorial Prize', 'Sylvester Medal']","['Heriot-Watt University', 'University of Oxford']"
"Hal Foster (art critic)","['1955-08-13']","['New Jersey']","['City University of New York', 'Columbia University', 'Princeton University']","['Guggenheim Fellowship']","['Cornell University', 'Princeton University']"
"Wayne Hendrickson","['1941-04-25']","['United States']","['Johns Hopkins University', 'University of Wisconsin-River Falls']","['Alexander Hollaender Award in Biophysics', 'Christian B. Anfinsen', 'Gairdner Foundation International Award', 'Harvey Prize']","['Columbia University']"
"Eshel Ben-Jacob","['1952-04-13']","['Israel']","['Tel Aviv University']","['Scientific American']","['Tel Aviv University', 'University of Michigan']"
"Henry Fuchs","['1948-01-20']","['Chapel Hill, North Carolina']","['University of Utah']","['ACM SIGGRAPH', 'Association for Computing Machinery', 'Fellow', 'National Academy of Engineering']","['University of North Carolina at Chapel Hill', 'University of Texas at Dallas']"
"Markus Aspelmeyer","['1974-1-1']","['Austria']","['University of Munich']","['European Research Council', 'Lieben Prize']","['Institute for Quantum Optics and Quantum Information', 'University of Vienna']"
"Robert V. Hogg","['1924-11-08']","['Highlands Ranch, Colorado']","['University of Illinois', 'University of Iowa']","['American Statistical Association', 'Gottfried E. Noether', 'Institute of Mathematical Statistics', 'International Statistical Institute', 'Mathematical Association of America', 'President of the American Statistical Association']","['University of Iowa']"
"Sujatha Ramdorai","['1962-0-0']","['Vancouver']","['Annamalai University', 'St. Joseph's College, Bangalore', 'TIFR']","['Alexander von Humboldt Fellow', 'ICTP Ramanujan Prize', 'Shanti Swarup Bhatnagar Award']","['TIFR']"
"Michael Burrows","['1963-1-1']","['United States of America']","['Churchill College, Cambridge', 'University College London']","['Fellow of the Royal Society']","['AltaVista', 'Digital Equipment Corporation', 'Google', 'Microsoft', 'University of Cambridge']"
"Max Born","['1882-12-11']","['Göttingen']","['University of Göttingen']","['Fellow of the Royal Society', 'Hughes Medal', 'Max Planck Medal', 'Nobel Prize in Physics']","['Johann Wolfgang Goethe University of Frankfurt am Main', 'University of Edinburgh', 'University of Göttingen']"
"Anthony James Leggett","['1938-03-26']","['United States']","['University of Oxford']","['Dirac Prize', 'Fellow of the Royal Society', 'Maxwell Medal and Prize', 'Nobel Prize in Physics', 'Order of the British Empire', 'Wolf Prize in Physics']","['Institute for Quantum Computing', 'University of Illinois at Urbana-Champaign', 'University of Sussex', 'University of Waterloo']"
"Leon Isserlis","['1881-1-1']","['Russian Empire']","['University College London', 'University of Cambridge']","['Guy Medal']","['West Ham Technical Institute']"
"Kurt Mendelssohn","['1906-01-07']","['United Kingdom']","['Humboldt University of Berlin']","['Fellow of the Royal Society', 'Hughes Medal']","['University of Oxford']"
"Erna Schneider Hoover","['1926-06-19']","['New Jersey']","['Wellesley College', 'Yale University']","['National Inventors Hall of Fame']","['Bell Laboratories']"
"Ioannis Liritzis","['1953-11-02']","['Greece']","['University of Edinburgh', 'University of Patras']","['Academy of Athens (modern)']","['University of the Aegean']"
"Emanuel Derman","['1946-1-1']","['New York City']","['Columbia University', 'University of Cape Town']","['International Association of Financial Engineers']","['Columbia University', 'Goldman Sachs', 'Salomon Brothers']"
"Daniel Wolpert","['1963-09-08']","['Cambridge']","['DPhil', 'Lincoln College, Oxford', 'Magdalen College, Oxford', 'Trinity Hall, Cambridge']","['Crick Lecture', 'FMedSci', 'Fellow of the Royal Society', 'Golden Brain Award']","['Massachusetts Institute of Technology', 'University College London', 'University of Cambridge']"
"Artur Avila","['1979-06-29']","['Brazil']","['Federal University of Rio de Janeiro', 'Instituto Nacional de Matemática Pura e Aplicada']","['EMS Prize', 'Fields Medal', 'International Mathematical Olympiad', 'Michael Brin Prize in Dynamical Systems', 'Salem Prize']","['CNRS', 'Instituto Nacional de Matemática Pura e Aplicada', 'Paris Diderot University']"
"Sten Grillner","['1941-06-14']","['Stockholm']","['University of Gothenburg']","['Kavli Prize', 'Neuroscience']","['Karolinska Institutet']"
"David Altshuler","['1964-8-27']","['Brookline, MA']","['Harvard Medical School', 'Massachusetts Institute of Technology']","['American Diabetes Association', 'Curt Stern Award']","['Broad Institute', 'Harvard Medical School', 'Massachusetts General Hospital', 'Vertex Pharmaceuticals']"
"Muhammad Yar Khuhawar","['1948-02-05']","['Jamshoro']","['University of Birmingham']","['Sitara-i-Imtiaz']","['University of Sindh']"
"Amos Smith","['1944-08-26']","['Pennsylvania']","['The Rockefeller University']","['Perkin Prize for Organic Chemistry']","['Monell Chemical Senses Center']"
"Andre Geim","['1958-10-21']","['Manchester']","['Moscow Institute of Physics and Technology']","['Carbon Medal', 'Copley Medal', 'European Physical Society', 'Fellow of the Royal Society', 'Hughes Medal', 'Ig Nobel Prize', 'John J. Carty Award for the Advancement of Science', 'Knight Bachelor', 'Körber European Science Prize', 'Mott Prize', 'Nobel Prize in Physics']","['Institute of Solid State Physics (Russia)', 'Moscow Institute of Physics and Technology', 'Radboud University Nijmegen', 'Russian Academy of Sciences', 'University of Manchester']"
"John B. Whitehead","['1872-08-18']","['United States']","['Johns Hopkins University']","['Elliott Cresson Medal', 'IEEE Edison Medal']","['Johns Hopkins University']"
"Richard Axel","['1946-07-02']","['United States']","['Columbia University', 'Johns Hopkins School of Medicine', 'Stuyvesant High School']","['Fellow of the Royal Society', 'Gairdner Foundation International Award', 'Nobel Prize in Physiology or Medicine', 'Richard Lounsbery Award']","['Columbia University']"
"Noam Nisan","['1961-06-20']","['Israel']","['Hebrew University of Jerusalem', 'University of California, Berkeley']","['Gödel Prize', 'Knuth Prize']","['Hebrew University of Jerusalem', 'Microsoft Research']"
"Howard Harry Rosenbrock","['1920-12-16']","['England']","['London University', 'University College London']","['Rufus Oldenburger Medal']","['University of Manchester Institute of Science and Technology']"
"Ronald Ekers","['1941-09-18']","['Australia']","['Australian National University']","['Fellow of the Australian Academy of Science', 'Fellow of the Royal Society', 'Matthew Flinders Medal and Lecture']","['Australia Telescope National Facility', 'Very Large Array']"
"Bradford Parkinson","['1935-02-16']","['San Luis Obispo, California']","['Massachusetts Institute of Technology', 'Stanford University', 'United States Naval Academy']","['Draper Prize', 'Magellanic Premium', 'National Inventors Hall of Fame']","['Stanford University', 'United States Air Force']"
"Odd Langholm","['1928-11-08']","['Bergen']","['Norwegian School of Economics and Business Administration']","['Honorary degree', 'Åbo Akademi University']","['Norwegian School of Economics and Business Administration']"
"Brian Garner Wybourne","['1935-03-05']","['Poland']","['University of Canterbury']","['Hector Medal']","['Nicholas Copernicus University', 'University of Canterbury']"
"Li Xiaohong (engineer)","['1959-0-0']","['China']","['Chongqing University']","['Chinese Academy of Engineering']","['Chongqing University', 'Wuhan University']"
"Duncan Haldane","['1951-09-14']","['Princeton, New Jersey']","['University of Cambridge']","['Fellow of the Royal Society', 'Nobel Prize in Physics', 'Oliver E. Buckley Condensed Matter Prize']","['Bell Laboratories', 'Princeton University', 'University of Southern California']"
"Haddon King","['1905-2-4']","['Australia']","['University of Toronto']","['Clarke Medal', 'Penrose Gold Medal', 'W. R. Browne Medal']","['Consolidated Zinc', 'Western Mining Corporation']"
"Marc Levoy","['1953-1-1']","['United States']","['Cornell University', 'University of North Carolina at Chapel Hill']","['Siggraph']","['Stanford University']"
"Andrey Korotayev","['1961-02-17']","['Russia']","['Moscow State University']","['International N. D. Kondratiev Foundation', 'Russian Academy of Sciences']","['Institute for Advanced Study', 'National Research University Higher School of Economics']"
"Sidney Mintz","['1922-11-16']","['Cockeysville, Maryland']","['Brooklyn College', 'Columbia University']","['American Anthropological Association', 'Royal Anthropological Institute of Great Britain and Ireland']","['Johns Hopkins University', 'Yale University']"
"Sara Arber","['1949-03-19']","['Godalming']","['London School of Economics', 'University of Michigan', 'University of Surrey']","['AcSS', 'FRSA', 'Fellow of the British Academy']","['University of Surrey']"
"Jim Berger (statistician)","['1950-04-06']","['United States']","['Cornell University']","['COPSS Presidents' Award', 'Guggenheim Fellowship', 'R. A. Fisher Lectureship', 'United States National Academy of Sciences']","['Purdue University']"
"Otto Hutter","['1924-02-29']","['Bournemouth']","['University College London']","['The Physiological Society']","['University College London', 'University of Glasgow']"
"Michael Athans","['1937-05-03']","['United States']","['University of California, Berkeley']","['Donald P. Eckman Award', 'Richard E. Bellman Control Heritage Award']","['Massachusetts Institute of Technology']"
"James S. Langer","['1934-9-21']","['United States']","['Carnegie Mellon University', 'University of Birmingham']","['Oliver Buckley Prize']","['Carnegie Mellon University', 'University of California, Santa Barbara']"
"Andrew Huxley","['1917-11-22']","['Cambridge']","['Trinity College, Cambridge']","['Copley Medal', 'Fellow of the Royal Society', 'Knight Bachelor', 'Nobel Prize in Physiology or Medicine', 'Order of Merit']","['University College London', 'University of Cambridge']"
"Joseph Silk","['1942-12-03']","['United Kingdom']","['Clare College, Cambridge', 'Harvard University']","['Balzan Prize']","['Institut d'astrophysique de Paris', 'Johns Hopkins University', 'University of California, Berkeley', 'University of Oxford']"
"Frederic M. Richards","['1925-08-19']","['Guilford, Connecticut']","['Harvard University', 'MIT']","['American Academy of Arts and Sciences', 'Guggenheim Fellowship', 'National Academy of Sciences']","['Yale University']"
"Carsten Lund","['1963-07-01']","['New Jersey']","['Aarhus University', 'University of Chicago']","['Gödel Prize']","['AT&T Laboratories']"
"Kenneth G. McCracken","['1933-08-07']","['Australia']","['University of Tasmania']","['Australia Prize', 'Pawsey Medal']","['Massachusetts Institute of Technology', 'NASA', 'University of Adelaide']"
"Robert Ulanowicz","['1943-09-17']","['Gainesville, Florida']","['Johns Hopkins University']","['Ilya Prigogine']","['University of Florida', 'University of Maryland, College Park']"
"Richard Lewontin","['1929-03-29']","['Brattleboro']","['Columbia University', 'Harvard University']","['Crafoord Prize', 'Sewall Wright Award']","['Columbia University', 'Harvard University', 'North Carolina State University', 'University of Chicago', 'University of Rochester']"
"Xie Yi","['1967-07-23']","['Beijing']","['Stony Brook University', 'University of Science and Technology of China', 'Xiamen University']","['L'Oréal-UNESCO Awards for Women in Science']","['Chinese Academy of Sciences', 'Royal Society of Chemistry']"
"Mark Krein","['1907-04-03']","['Russian Empire']","['I.I. Mechnikov Odessa National University']","['Wolf Prize']","['I.I. Mechnikov Odessa National University']"
"David Franklin (scientist)","['1961-1-1']","['Hopkinton, Massachusetts']","['Harvard Medical School', 'University of Rhode Island']","['Dana-Farber Cancer Institute', 'National Research Service Award']","['Boston Scientific Corporation', 'IDEXX Laboratories', 'Parke-Davis']"
"Stephen Selkowitz","['1948-03-08']","['United States']","['California Institute of the Arts', 'Harvard University']","['Engineering News-Record']","['Lawrence Berkeley National Laboratory']"
"Hosur Narasimhaiah","['1920-06-06']","['Bangalore']","['Central College of Bangalore', 'Ohio State University']","['Padma Bhushan']","['Bangalore University', 'National College, Bangalore', 'Southern Illinois University']"
"Christopher Bishop","['1959-04-07']","['Cambridge']","['University of Edinburgh', 'University of Oxford']","['Royal Academy of Engineering', 'Royal Institution Christmas Lectures', 'Royal Society of Edinburgh', 'Turing Lecture']","['AEA Technology', 'Aston University', 'Culham Centre for Fusion Energy', 'Microsoft Research', 'University of Edinburgh', 'University of Oxford']"
"Noella Marcellino","['1951-06-30']","['Bethlehem, Connecticut']","['University of Connecticut']","['France', 'Fulbright Scholarship']","['Abbey of Regina Laudis']"
"Rudolph Leibel","['1942-1-1']","['United States']","['Albert Einstein College of Medicine', 'Colgate University']","['Columbia University', 'Louisiana State University', 'NIH', 'National Academy of Sciences', 'National Institute of Diabetes and Digestive and Kidney Diseases']","['Boston Children's Hospital', 'Cambridge Hospital', 'Columbia University', 'Massachusetts General Hospital', 'Rockefeller University']"
"Roger Bingham","['1948-1-1']","['La Jolla, California']","['University College London']","['American Psychological Association', 'Los Angeles Emmy Award', 'National Magazine Awards', 'Writers Guild of America Award']","['Salk Institute for Biological Studies', 'University of California, San Diego']"
"Brian Cox (physicist)","['1968-03-03']","['Battersea']","['University of Manchester']","['Fellow of the Royal Society', 'Kelvin Prize', 'Michael Faraday Prize', 'Order of the British Empire']","['CERN', 'DESY', 'University of Manchester']"
"Don L. Anderson","['1933-03-05']","['United States']","['California Institute of Technology', 'Rensselaer Polytechnic Institute']","['American Geophysical Union', 'Arthur L. Day Medal', 'Crafoord Prize', 'Geological Society of America', 'Gold Medal of the Royal Astronomical Society', 'National Medal of Science', 'William Bowie Medal']","['California Institute of Technology', 'Caltech Seismological Laboratory']"
"John Curtis Perry","['1930-07-18']","['Ipswich, Massachusetts']","['Bachelor of Arts', 'Harvard University', 'Master of Arts', 'Ph.D.', 'Yale University']","['Order of the Sacred Treasure']","['Carleton College', 'Connecticut College', 'The Fletcher School of Law and Diplomacy']"
"Carlton E. Lemke","['1920-10-11']","['United States']","['Carnegie Mellon University']","['John von Neumann Theory Prize']","['Rensselaer Polytechnic Institute']"
"Mujahid Kamran","['1951-01-23']","['Lahore']","['University of Edinburgh', 'University of the Punjab']","['Abdus Salam Award', 'Pride of Performance']","['International Center for Theoretical Physics', 'King Saud University', 'University of the Punjab']"
"Knut Borchardt","['1929-06-02']","['Bavaria']","['Ludwig Maximilian University of Munich']","['Gottfried Wilhelm Leibniz Prize', 'Honorary doctorate', 'Order of Merit of the Federal Republic of Germany', 'University of Innsbruck', 'University of Passau']","['Ludwig Maximilian University of Munich', 'University of Mannheim', 'University of Tübingen']"
"Robert E. Hopkins","['1915-06-30']","['Ithaca, NY']","['MIT', 'University of Rochester']","['SPIE Gold Medal']","['University of Rochester']"
"Paul Kogerman","['1891-12-05']","['Estonia']","['ETH Zurich', 'Imperial College London', 'University of Tartu']","['Légion d'honneur', 'Order of the White Star']","['University of Tartu']"
"Wen-Tsuen Chen","['1948-05-27']","['Hsinchu County']","['National Tsing Hua University', 'University of California, Berkeley']","['IEEE Computer Society', 'Ministry of Education (Republic of China)', 'Taiwan', 'Taylor L. Booth Education Award']","['Academia Sinica', 'National Tsing Hua University']"
"John Burton Cleland","['1878-06-22']","['Australia']","['University of Adelaide', 'University of Sydney']","['Australian Natural History Medallion']","['London Hospital', 'Royal Prince Alfred Hospital', 'University of Adelaide', 'University of Sydney']"
"Herbert Kroemer","['1928-08-25']","['United States']","['University of Göttingen', 'University of Jena']","['IEEE Medal of Honor', 'J J Ebers Award', 'Nobel Prize in Physics']","['RCA Laboratories', 'University of California, Santa Barbara', 'University of Colorado at Boulder', 'Varian Associates']"
"Keith O'Nions","['1944-09-26']","['London']","['University of Alberta', 'University of Nottingham']","['Bigsby Medal', 'HonFREng', 'Knight Bachelor', 'Lyell Medal', 'Urey Medal (European Association of Geochemistry)']","['Columbia University', 'Imperial College London', 'University of Alberta', 'University of Cambridge', 'University of Oslo', 'University of Oxford']"
"Steven Weinberg","['1933-05-03']","['Austin, Texas']","['Cornell University', 'Princeton University']","['Andrew Gemant Award', 'Dannie Heineman Prize for Mathematical Physics', 'Elliott Cresson Medal', 'Fellow of the Royal Society', 'National Medal of Science', 'Nobel Prize in Physics']","['Harvard University', 'Massachusetts Institute of Technology', 'University of California, Berkeley', 'University of Texas at Austin']"
"David H. Auston","['1940-11-14']","['Santa Barbara, California']","['University of California, Berkeley', 'University of Toronto']","['American Academy of Arts and Sciences', 'National Academy of Engineering', 'National Academy of Sciences']","['Bell Labs', 'Case Western Reserve University', 'Columbia University', 'Kavli Foundation (United States)']"
"Nigel Gilbert","['1950-03-21']","['Guildford']","['University of Cambridge']","['FAcSS', 'FBCS', 'FREng', 'FRSA', 'ScD']","['University of Surrey']"
"Nick Jennings (computer scientist)","['1966-12-15']","['Bishop's Waltham']","['Queen Mary University of London', 'University of Exeter']","['FBCS', 'FIEEE', 'FIET', 'IJCAI Computers and Thought Award', 'Royal Academy of Engineering']","['Imperial College']"
"Anthony William Thomas","['1949-11-05']","['Australia']","['Flinders University']","['Harrie Massey Medal', 'Humboldt Research Award', 'Thomas Ranken Lyle Medal', 'Walter Boas Medal']","['TRIUMF', 'University of Adelaide', 'University of British Columbia']"
"Rakesh Jain","['1950-12-18']","['United States']","['Indian Institute of Technology, Kanpur', 'University of Delaware']","['American Academy of Arts and Sciences', 'American Association for Cancer Research', 'American Institute for Medical and Biological Engineering', 'Biomedical Engineering Society', 'Guggenheim Fellowship', 'Microcirculatory Society', 'National Academy of Engineering', 'National Academy of Medicine', 'National Academy of Sciences', 'National Medal of Science']","['Harvard Medical School', 'Massachusetts General Hospital']"
"David Jack (scientist)","['1924-02-22']","['UK']","['Royal Technical College', 'University of Glasgow', 'University of London']","['CBE', 'Fellow of the Royal Society', 'Fellow of the Royal Society of Edinburgh', 'Knight Bachelor', 'Mullard Award']","['Allen & Hanburys', 'Glaxo']"
"Artur Ekert","['1961-09-19']","['Singapore']","['Jagiellonian University', 'University of Oxford']","['Hughes Medal', 'Maxwell Medal and Prize']","['Merton College, Oxford', 'National University of Singapore', 'Oxford University']"
"Svante Janson","['1955-05-21']","['Sweden']","['Uppsala University']","['Lund, Sweden', 'Royal Swedish Academy of Sciences']","['Uppsala University']"
